seller_id,seller_short_code,seller_name,shop_url,logo_url
1,BD101N7,Rocket Internet GmbH,https://www.daraz.com.bd/shop/rocket,https://static-01.daraz.com.bd/other/shop/69ca90528238a3c6f0da0132a6e3b71c.jpeg_80x80q90.jpg
3,BD101O4,Star Tech & Engineering Ltd,https://www.daraz.com.bd/shop/star-tech-engineering-ltd,Logo not found!
7,BD101O8,La Mode,https://www.daraz.com.bd/shop/la-mode,Logo not found!
8,BD101O9,Yellow,https://www.daraz.com.bd/shop/yellow,https://static-01.daraz.com.bd/other/shop/38b424720ade7caffae4a6a6134a9870.jpeg_80x80q90.jpg
9,BD101OA,Sports World,https://www.daraz.com.bd/shop/sports-world,https://static-01.daraz.com.bd/other/shop/f903161d99c15ae6877b01dda794edef.jpeg_80x80q90.jpg
10,BD101OB,Ripon Store,https://www.daraz.com.bd/shop/ripon-store,https://static-01.daraz.com.bd/other/shop/450ef7bb98d66bdb409165938c6fd227.png_80x80q90.jpg
11,BD101OC,New Steps,https://www.daraz.com.bd/shop/new-steps,Logo not found!
19,BD101OL,Q Mobile,https://www.daraz.com.bd/shop/q-mobile,Logo not found!
25,BD101OS,Perfect computers,https://www.daraz.com.bd/shop/perfect-computers,Logo not found!
