seller_id,seller_short_code,seller_name,shop_url
1002927,BD1NDP2,AliexpressPick-up,https://www.daraz.com.bd/shop/aliexpresspick-up
1002930,BD1NDP5,Ayat Telecom & Stationaries CTG,https://www.daraz.com.bd/shop/ayat-telecom-stationaries-ctg
1002932,BD1NDP7,Ahmed Jamdani,https://www.daraz.com.bd/shop/ahmed-jamdani
1002933,BD1NDP8,aliftrade,https://www.daraz.com.bd/shop/aliftrade
1002934,BD1NDP9,Sixty6,https://www.daraz.com.bd/shop/sixty6
1002935,BD1NDPA,Richmond Hotel & Apartments,https://www.daraz.com.bd/shop/richmond-hotel-apartments
1002936,BD1NDPB,Pure Plus Corporation,https://www.daraz.com.bd/shop/pure-plus-corporation/
1002939,BD1NDPE,JANNAT TRADING CORPORATION,https://www.daraz.com.bd/shop/jannat-trading-corporation
1002941,BD1NDPG,Da Vinci Clothing,https://www.daraz.com.bd/shop/da-vinci-clothing
1002942,BD1NDPH,Maa machinaries,https://www.daraz.com.bd/shop/maa-machinaries
1002951,BD1NDPR,DROPOUT STORE,https://www.daraz.com.bd/shop/dropout-store
1002954,BD1NDPU,ROS Fashion,https://www.daraz.com.bd/shop/ros-fashion
1002958,BD1NDPY,SHADOW EXPRESS,https://www.daraz.com.bd/shop/shadow-express
1002959,BD1NDPZ,Bend The Trend,https://www.daraz.com.bd/shop/bend-the-trend
1002963,BD1NDR3,GlamTouch,https://www.daraz.com.bd/shop/glamtouch
1002964,BD1NDR4,Aadhya Fashion Gallery,https://www.daraz.com.bd/shop/aadhya-fashion-gallery
1002978,BD1NDRI,Online Hijama Shop,https://www.daraz.com.bd/shop/online-hijama-shop
1002980,BD1NDRK,Ars group,https://www.daraz.com.bd/shop/ars-group
1002985,BD1NDRP,MotoAuto,https://www.daraz.com.bd/shop/motoauto
1002996,BD1NDS1,JN CollectionCTG,https://www.daraz.com.bd/shop/jn-collectionctg
1002997,BD1NDS2,Bismillah Trading Corporation,https://www.daraz.com.bd/shop/bismillah-trading-corporation
1003005,BD1NDSA,Online Shop247,https://www.daraz.com.bd/shop/online-shop247
1003015,BD1NDSK,I,https://www.daraz.com.bd/shop/i
1003016,BD1NDSL,Six Seasons FashionCTG,https://www.daraz.com.bd/shop/six-seasons-fashionctg
1003018,BD1NDSN,Regal Furniture,https://www.daraz.com.bd/shop/regal-furniture
1003019,BD1NDSO,Kids Camp CTG,https://www.daraz.com.bd/shop/kids-camp-ctg
1003026,BD1NDSW,RED ORIGIN,https://www.daraz.com.bd/shop/red-origin
1003030,BD1NDT0,"""Walkin On Air""",https://www.daraz.com.bd/shop/walkin-on-air
1003031,BD1NDT1,ColosseumCTG,https://www.daraz.com.bd/shop/colosseumctg
1003033,BD1NDT3,Azan Varitise Store,https://www.daraz.com.bd/shop/azan-varitise-store/
1003034,BD1NDT4,Mim Varieties Store,https://www.daraz.com.bd/shop/mim-varieties-store/
1003036,BD1NDT6,SK International,https://www.daraz.com.bd/shop/sk-international
1003040,BD1NDTA,REMAX-Original_CCTL,https://www.daraz.com.bd/shop/remax-originalcctl
1003041,BD1NDTB,Maa Electronics,https://www.daraz.com.bd/shop/maa-electronics/
1003045,BD1NDTF,BD Collection ZoneCTG,https://www.daraz.com.bd/shop/bd-collection-zonectg
1003047,BD1NDTH,Fariya Fabrics,https://www.daraz.com.bd/shop/fariya-fabrics
1003048,BD1NDTI,Fashoinable Lifestyle BD,https://www.daraz.com.bd/shop/fashoinable-lifestyle-bd
1003050,BD1NDTK,Baby TownCTG,https://www.daraz.com.bd/shop/baby-townctg
1003052,BD1NDTM,Elegant Dress,https://www.daraz.com.bd/shop/elegant-dress
1003054,BD1NDTO,AIRCO ENGINEERING SERVICES BD,https://www.daraz.com.bd/shop/airco-engineering-services-bd
1003063,BD1NDTY,ASHIQ-FASHIONS,https://www.daraz.com.bd/shop/ashiq-fashions-1541430000
1003064,BD1NDTZ,Ordinary Shop,https://www.daraz.com.bd/shop/ordinary-shop
1003072,BD1NDU7,The Best Buy,https://www.daraz.com.bd/shop/the-best-buy
1003089,BD1NDUO,"""JAMILS COMICS & COLLECTABLES""",https://www.daraz.com.bd/shop/jamils-comics-collectables/
1003090,BD1NDUP,B-baria Belt House,https://www.daraz.com.bd/shop/b-baria-belt-house
1003093,BD1NDUT,Rasifish aquariumCTG,https://www.daraz.com.bd/shop/rasifish-aquariumctg
1003095,BD1NDUV,maxbab,https://www.daraz.com.bd/shop/maxbab
1003097,BD1NDUX,Dream Mart.Shop,https://www.daraz.com.bd/shop/dream-martshop
